"modelname","scenario","sens_step","run_number","resource","time","server","queue","capacity","queue_size","system","limit","replication"
"orepass","initial suite",6,1,"bogger_get_stocks_resource",1,1,0,15,Inf,1,Inf,1
"orepass","initial suite",6,1,"drawpoint_access",1,1,0,3,Inf,1,Inf,1
"orepass","initial suite",6,1,"truck_get_stocks_resource",1,1,0,1,Inf,1,Inf,1
"orepass","initial suite",6,1,"stope_stock_access",1,1,0,2,Inf,1,Inf,1
"orepass","initial suite",6,1,"bogger_get_stocks_resource",2,2,0,15,Inf,2,Inf,1
"orepass","initial suite",6,1,"drawpoint_access",2,2,0,3,Inf,2,Inf,1
"orepass","initial suite",6,1,"truck_get_stocks_resource",2,1,1,1,Inf,2,Inf,1
"orepass","initial suite",6,1,"bogger_get_stocks_resource",3,3,0,15,Inf,3,Inf,1
"orepass","initial suite",6,1,"drawpoint_access",3,3,0,3,Inf,3,Inf,1
"orepass","initial suite",6,1,"truck_get_stocks_resource",3,1,2,1,Inf,3,Inf,1
"orepass","initial suite",6,1,"bogger_get_stocks_resource",4,4,0,15,Inf,4,Inf,1
"orepass","initial suite",6,1,"drawpoint_access",4,3,1,3,Inf,4,Inf,1
"orepass","initial suite",6,1,"truck_get_stocks_resource",4,1,3,1,Inf,4,Inf,1
"orepass","initial suite",6,1,"bogger_get_stocks_resource",5,5,0,15,Inf,5,Inf,1
"orepass","initial suite",6,1,"drawpoint_access",5,3,2,3,Inf,5,Inf,1
"orepass","initial suite",6,1,"truck_get_stocks_resource",5,1,4,1,Inf,5,Inf,1
"orepass","initial suite",6,1,"bogger_get_stocks_resource",6,6,0,15,Inf,6,Inf,1
"orepass","initial suite",6,1,"drawpoint_access",6,3,3,3,Inf,6,Inf,1
"orepass","initial suite",6,1,"bogger_get_stocks_resource",7,7,0,15,Inf,7,Inf,1
"orepass","initial suite",6,1,"drawpoint_access",7,3,4,3,Inf,7,Inf,1
"orepass","initial suite",6,1,"bogger_get_stocks_resource",8,8,0,15,Inf,8,Inf,1
"orepass","initial suite",6,1,"drawpoint_access",8,3,5,3,Inf,8,Inf,1
"orepass","initial suite",6,1,"bogger_get_stocks_resource",9,9,0,15,Inf,9,Inf,1
"orepass","initial suite",6,1,"drawpoint_access",9,3,6,3,Inf,9,Inf,1
"orepass","initial suite",6,1,"bogger_get_stocks_resource",10,10,0,15,Inf,10,Inf,1
"orepass","initial suite",6,1,"drawpoint_access",10,3,7,3,Inf,10,Inf,1
"orepass","initial suite",6,1,"bogger_get_stocks_resource",11,11,0,15,Inf,11,Inf,1
"orepass","initial suite",6,1,"drawpoint_access",11,3,8,3,Inf,11,Inf,1
"orepass","initial suite",6,1,"bogger_get_stocks_resource",12,12,0,15,Inf,12,Inf,1
"orepass","initial suite",6,1,"drawpoint_access",12,3,9,3,Inf,12,Inf,1
"orepass","initial suite",6,1,"bogger_get_stocks_resource",13,13,0,15,Inf,13,Inf,1
"orepass","initial suite",6,1,"drawpoint_access",13,3,10,3,Inf,13,Inf,1
"orepass","initial suite",6,1,"bogger_get_stocks_resource",14,14,0,15,Inf,14,Inf,1
"orepass","initial suite",6,1,"drawpoint_access",14,3,11,3,Inf,14,Inf,1
"orepass","initial suite",6,1,"bogger_get_stocks_resource",15,15,0,15,Inf,15,Inf,1
"orepass","initial suite",6,1,"drawpoint_access",15,3,12,3,Inf,15,Inf,1
"orepass","initial suite",6,1,"bogger_get_stocks_resource",36.8083227711572,14,0,15,Inf,14,Inf,1
"orepass","initial suite",6,1,"drawpoint_access",36.8083227711572,3,11,3,Inf,14,Inf,1
"orepass","initial suite",6,1,"bogger_haul_loaded_resource",36.8083227711572,1,0,15,Inf,1,Inf,1
"orepass","initial suite",6,1,"bogger_get_stocks_resource",50.7118798533597,13,0,15,Inf,13,Inf,1
"orepass","initial suite",6,1,"drawpoint_access",50.7118798533597,3,10,3,Inf,13,Inf,1
"orepass","initial suite",6,1,"bogger_haul_loaded_resource",50.7118798533597,2,0,15,Inf,2,Inf,1
"orepass","initial suite",6,1,"bogger_get_stocks_resource",52.2387706157004,12,0,15,Inf,12,Inf,1
"orepass","initial suite",6,1,"drawpoint_access",52.2387706157004,3,9,3,Inf,12,Inf,1
"orepass","initial suite",6,1,"bogger_haul_loaded_resource",52.2387706157004,3,0,15,Inf,3,Inf,1
"orepass","initial suite",6,1,"bogger_get_stocks_resource",89.7589593060307,11,0,15,Inf,11,Inf,1
"orepass","initial suite",6,1,"drawpoint_access",89.7589593060307,3,8,3,Inf,11,Inf,1
"orepass","initial suite",6,1,"bogger_haul_loaded_resource",89.7589593060307,4,0,15,Inf,4,Inf,1
"orepass","initial suite",6,1,"bogger_get_stocks_resource",94.4330453057071,10,0,15,Inf,10,Inf,1
"orepass","initial suite",6,1,"drawpoint_access",94.4330453057071,3,7,3,Inf,10,Inf,1
"orepass","initial suite",6,1,"bogger_haul_loaded_resource",94.4330453057071,5,0,15,Inf,5,Inf,1
"orepass","initial suite",6,1,"bogger_get_stocks_resource",101.817739538432,9,0,15,Inf,9,Inf,1
"orepass","initial suite",6,1,"drawpoint_access",101.817739538432,3,6,3,Inf,9,Inf,1
"orepass","initial suite",6,1,"bogger_haul_loaded_resource",101.817739538432,6,0,15,Inf,6,Inf,1
"orepass","initial suite",6,1,"bogger_haul_loaded_resource",129.646779788212,5,0,15,Inf,5,Inf,1
"orepass","initial suite",6,1,"bogger_dump_stocks_resource",129.646779788212,1,0,15,Inf,1,Inf,1
"orepass","initial suite",6,1,"stope_stock_access",129.646779788212,2,0,2,Inf,2,Inf,1
"orepass","initial suite",6,1,"bogger_get_stocks_resource",131.240707543014,8,0,15,Inf,8,Inf,1
"orepass","initial suite",6,1,"drawpoint_access",131.240707543014,3,5,3,Inf,8,Inf,1
"orepass","initial suite",6,1,"bogger_haul_loaded_resource",131.240707543014,6,0,15,Inf,6,Inf,1
"orepass","initial suite",6,1,"bogger_haul_loaded_resource",132.010863082684,5,0,15,Inf,5,Inf,1
"orepass","initial suite",6,1,"bogger_dump_stocks_resource",132.010863082684,2,0,15,Inf,2,Inf,1
"orepass","initial suite",6,1,"stope_stock_access",132.010863082684,2,1,2,Inf,3,Inf,1
"orepass","initial suite",6,1,"bogger_get_stocks_resource",141.651839270211,7,0,15,Inf,7,Inf,1
"orepass","initial suite",6,1,"drawpoint_access",141.651839270211,3,4,3,Inf,7,Inf,1
"orepass","initial suite",6,1,"bogger_haul_loaded_resource",141.651839270211,6,0,15,Inf,6,Inf,1
"orepass","initial suite",6,1,"bogger_haul_loaded_resource",141.890997006133,5,0,15,Inf,5,Inf,1
"orepass","initial suite",6,1,"bogger_dump_stocks_resource",141.890997006133,3,0,15,Inf,3,Inf,1
"orepass","initial suite",6,1,"stope_stock_access",141.890997006133,2,2,2,Inf,4,Inf,1
"orepass","initial suite",6,1,"bogger_dump_stocks_resource",151.006157364761,2,0,15,Inf,2,Inf,1
"orepass","initial suite",6,1,"stope_stock_access",151.006157364761,2,1,2,Inf,3,Inf,1
"orepass","initial suite",6,1,"bogger_haul_empty_resource",151.006157364761,1,0,15,Inf,1,Inf,1
"orepass","initial suite",6,1,"bogger_get_stocks_resource",151.552394159516,6,0,15,Inf,6,Inf,1
"orepass","initial suite",6,1,"drawpoint_access",151.552394159516,3,3,3,Inf,6,Inf,1
"orepass","initial suite",6,1,"bogger_haul_loaded_resource",151.552394159516,6,0,15,Inf,6,Inf,1
"orepass","initial suite",6,1,"bogger_haul_loaded_resource",170.262228074741,5,0,15,Inf,5,Inf,1
"orepass","initial suite",6,1,"bogger_dump_stocks_resource",170.262228074741,3,0,15,Inf,3,Inf,1
"orepass","initial suite",6,1,"stope_stock_access",170.262228074741,2,2,2,Inf,4,Inf,1
"orepass","initial suite",6,1,"bogger_dump_stocks_resource",171.347184983725,2,0,15,Inf,2,Inf,1
"orepass","initial suite",6,1,"stope_stock_access",171.347184983725,2,1,2,Inf,3,Inf,1
"orepass","initial suite",6,1,"bogger_haul_empty_resource",171.347184983725,2,0,15,Inf,2,Inf,1
"orepass","initial suite",6,1,"truck_get_stocks_resource",171.386601702201,1,3,1,Inf,4,Inf,1
"orepass","initial suite",6,1,"stope_stock_access",171.386601702201,2,0,2,Inf,2,Inf,1
"orepass","initial suite",6,1,"truck_haul_loaded_resource",171.386601702201,1,0,5,Inf,1,Inf,1
"orepass","initial suite",6,1,"stope_stock_access",171.386601702201,2,1,2,Inf,3,Inf,1
"orepass","initial suite",6,1,"bogger_haul_loaded_resource",179.17861296014,4,0,15,Inf,4,Inf,1
"orepass","initial suite",6,1,"bogger_dump_stocks_resource",179.17861296014,3,0,15,Inf,3,Inf,1
"orepass","initial suite",6,1,"stope_stock_access",179.17861296014,2,2,2,Inf,4,Inf,1
"orepass","initial suite",6,1,"bogger_get_stocks_resource",184.770223089731,5,0,15,Inf,5,Inf,1
"orepass","initial suite",6,1,"drawpoint_access",184.770223089731,3,2,3,Inf,5,Inf,1
"orepass","initial suite",6,1,"bogger_haul_loaded_resource",184.770223089731,5,0,15,Inf,5,Inf,1
"orepass","initial suite",6,1,"bogger_dump_stocks_resource",190.515286740949,2,0,15,Inf,2,Inf,1
"orepass","initial suite",6,1,"stope_stock_access",190.515286740949,2,1,2,Inf,3,Inf,1
"orepass","initial suite",6,1,"bogger_haul_empty_resource",190.515286740949,3,0,15,Inf,3,Inf,1
"orepass","initial suite",6,1,"bogger_dump_stocks_resource",193.260753124378,1,0,15,Inf,1,Inf,1
"orepass","initial suite",6,1,"stope_stock_access",193.260753124378,2,0,2,Inf,2,Inf,1
"orepass","initial suite",6,1,"bogger_haul_empty_resource",193.260753124378,4,0,15,Inf,4,Inf,1
"orepass","initial suite",6,1,"bogger_get_stocks_resource",193.393310477245,4,0,15,Inf,4,Inf,1
"orepass","initial suite",6,1,"drawpoint_access",193.393310477245,3,1,3,Inf,4,Inf,1
"orepass","initial suite",6,1,"bogger_haul_loaded_resource",193.393310477245,6,0,15,Inf,6,Inf,1
"orepass","initial suite",6,1,"bogger_haul_loaded_resource",195.827626916282,5,0,15,Inf,5,Inf,1
"orepass","initial suite",6,1,"bogger_dump_stocks_resource",195.827626916282,2,0,15,Inf,2,Inf,1
"orepass","initial suite",6,1,"stope_stock_access",195.827626916282,2,1,2,Inf,3,Inf,1
"orepass","initial suite",6,1,"bogger_get_stocks_resource",208.764352221541,3,0,15,Inf,3,Inf,1
"orepass","initial suite",6,1,"drawpoint_access",208.764352221541,3,0,3,Inf,3,Inf,1
"orepass","initial suite",6,1,"bogger_haul_loaded_resource",208.764352221541,6,0,15,Inf,6,Inf,1
"orepass","initial suite",6,1,"bogger_dump_stocks_resource",216.333485073657,1,0,15,Inf,1,Inf,1
"orepass","initial suite",6,1,"stope_stock_access",216.333485073657,2,0,2,Inf,2,Inf,1
"orepass","initial suite",6,1,"bogger_haul_empty_resource",216.333485073657,5,0,15,Inf,5,Inf,1
"orepass","initial suite",6,1,"bogger_haul_empty_resource",221.957462667686,4,0,15,Inf,4,Inf,1
"orepass","initial suite",6,1,"bogger_get_stocks_resource",221.957462667686,4,0,15,Inf,4,Inf,1
"orepass","initial suite",6,1,"drawpoint_access",221.957462667686,3,1,3,Inf,4,Inf,1
"orepass","initial suite",6,1,"bogger_haul_loaded_resource",223.528161534538,5,0,15,Inf,5,Inf,1
"orepass","initial suite",6,1,"bogger_dump_stocks_resource",223.528161534538,2,0,15,Inf,2,Inf,1
"orepass","initial suite",6,1,"stope_stock_access",223.528161534538,2,1,2,Inf,3,Inf,1
"orepass","initial suite",6,1,"bogger_haul_loaded_resource",235.322808011382,4,0,15,Inf,4,Inf,1
"orepass","initial suite",6,1,"bogger_dump_stocks_resource",235.322808011382,3,0,15,Inf,3,Inf,1
"orepass","initial suite",6,1,"stope_stock_access",235.322808011382,2,2,2,Inf,4,Inf,1
"orepass","initial suite",6,1,"bogger_get_stocks_resource",236.061192551592,3,0,15,Inf,3,Inf,1
"orepass","initial suite",6,1,"drawpoint_access",236.061192551592,3,0,3,Inf,3,Inf,1
"orepass","initial suite",6,1,"bogger_haul_loaded_resource",236.061192551592,5,0,15,Inf,5,Inf,1
"orepass","initial suite",6,1,"bogger_dump_stocks_resource",238.525368829086,2,0,15,Inf,2,Inf,1
"orepass","initial suite",6,1,"stope_stock_access",238.525368829086,2,1,2,Inf,3,Inf,1
"orepass","initial suite",6,1,"bogger_haul_empty_resource",238.525368829086,5,0,15,Inf,5,Inf,1
"orepass","initial suite",6,1,"bogger_haul_loaded_resource",239.639813914437,4,0,15,Inf,4,Inf,1
"orepass","initial suite",6,1,"bogger_dump_stocks_resource",239.639813914437,3,0,15,Inf,3,Inf,1
"orepass","initial suite",6,1,"stope_stock_access",239.639813914437,2,2,2,Inf,4,Inf,1
"orepass","initial suite",6,1,"bogger_get_stocks_resource",244.544702761077,2,0,15,Inf,2,Inf,1
"orepass","initial suite",6,1,"drawpoint_access",244.544702761077,2,0,3,Inf,2,Inf,1
"orepass","initial suite",6,1,"bogger_haul_loaded_resource",244.544702761077,5,0,15,Inf,5,Inf,1
"orepass","initial suite",6,1,"bogger_dump_stocks_resource",259.10586166007,2,0,15,Inf,2,Inf,1
"orepass","initial suite",6,1,"stope_stock_access",259.10586166007,2,1,2,Inf,3,Inf,1
"orepass","initial suite",6,1,"bogger_haul_empty_resource",259.10586166007,6,0,15,Inf,6,Inf,1
"orepass","initial suite",6,1,"bogger_get_stocks_resource",260.171276366871,1,0,15,Inf,1,Inf,1
"orepass","initial suite",6,1,"drawpoint_access",260.171276366871,1,0,3,Inf,1,Inf,1
"orepass","initial suite",6,1,"bogger_haul_loaded_resource",260.171276366871,6,0,15,Inf,6,Inf,1
"orepass","initial suite",6,1,"bogger_haul_empty_resource",264.487711460794,5,0,15,Inf,5,Inf,1
"orepass","initial suite",6,1,"bogger_get_stocks_resource",264.487711460794,2,0,15,Inf,2,Inf,1
"orepass","initial suite",6,1,"drawpoint_access",264.487711460794,2,0,3,Inf,2,Inf,1
"orepass","initial suite",6,1,"bogger_haul_empty_resource",268.339524557099,4,0,15,Inf,4,Inf,1
"orepass","initial suite",6,1,"bogger_get_stocks_resource",268.339524557099,3,0,15,Inf,3,Inf,1
"orepass","initial suite",6,1,"drawpoint_access",268.339524557099,3,0,3,Inf,3,Inf,1
"orepass","initial suite",6,1,"bogger_haul_loaded_resource",271.834008707468,5,0,15,Inf,5,Inf,1
"orepass","initial suite",6,1,"bogger_dump_stocks_resource",271.834008707468,3,0,15,Inf,3,Inf,1
"orepass","initial suite",6,1,"stope_stock_access",271.834008707468,2,2,2,Inf,4,Inf,1
"orepass","initial suite",6,1,"bogger_haul_empty_resource",272.737510254673,3,0,15,Inf,3,Inf,1
"orepass","initial suite",6,1,"bogger_get_stocks_resource",272.737510254673,4,0,15,Inf,4,Inf,1
"orepass","initial suite",6,1,"drawpoint_access",272.737510254673,3,1,3,Inf,4,Inf,1
"orepass","initial suite",6,1,"bogger_dump_stocks_resource",281.122452886254,2,0,15,Inf,2,Inf,1
"orepass","initial suite",6,1,"stope_stock_access",281.122452886254,2,1,2,Inf,3,Inf,1
"orepass","initial suite",6,1,"bogger_haul_empty_resource",281.122452886254,4,0,15,Inf,4,Inf,1
"orepass","initial suite",6,1,"bogger_get_stocks_resource",283.087569203106,3,0,15,Inf,3,Inf,1
"orepass","initial suite",6,1,"drawpoint_access",283.087569203106,3,0,3,Inf,3,Inf,1
"orepass","initial suite",6,1,"bogger_haul_loaded_resource",283.087569203106,6,0,15,Inf,6,Inf,1
"orepass","initial suite",6,1,"bogger_haul_loaded_resource",287.973530729144,5,0,15,Inf,5,Inf,1
"orepass","initial suite",6,1,"bogger_dump_stocks_resource",287.973530729144,3,0,15,Inf,3,Inf,1
"orepass","initial suite",6,1,"stope_stock_access",287.973530729144,2,2,2,Inf,4,Inf,1
"orepass","initial suite",6,1,"bogger_haul_empty_resource",293.228301341841,3,0,15,Inf,3,Inf,1
"orepass","initial suite",6,1,"bogger_get_stocks_resource",293.228301341841,4,0,15,Inf,4,Inf,1
"orepass","initial suite",6,1,"drawpoint_access",293.228301341841,3,1,3,Inf,4,Inf,1
"orepass","initial suite",6,1,"bogger_haul_loaded_resource",297.338406835388,4,0,15,Inf,4,Inf,1
"orepass","initial suite",6,1,"bogger_dump_stocks_resource",297.338406835388,4,0,15,Inf,4,Inf,1
"orepass","initial suite",6,1,"stope_stock_access",297.338406835388,2,3,2,Inf,5,Inf,1
"orepass","initial suite",6,1,"bogger_dump_stocks_resource",300.437139174715,3,0,15,Inf,3,Inf,1
"orepass","initial suite",6,1,"stope_stock_access",300.437139174715,2,2,2,Inf,4,Inf,1
"orepass","initial suite",6,1,"bogger_haul_empty_resource",300.437139174715,4,0,15,Inf,4,Inf,1
"orepass","initial suite",6,1,"bogger_get_stocks_resource",306.372438577469,3,0,15,Inf,3,Inf,1
"orepass","initial suite",6,1,"drawpoint_access",306.372438577469,3,0,3,Inf,3,Inf,1
"orepass","initial suite",6,1,"bogger_haul_loaded_resource",306.372438577469,5,0,15,Inf,5,Inf,1
"orepass","initial suite",6,1,"bogger_haul_empty_resource",308.811456958931,3,0,15,Inf,3,Inf,1
"orepass","initial suite",6,1,"bogger_get_stocks_resource",308.811456958931,4,0,15,Inf,4,Inf,1
"orepass","initial suite",6,1,"drawpoint_access",308.811456958931,3,1,3,Inf,4,Inf,1
"orepass","initial suite",6,1,"bogger_dump_stocks_resource",318.165674040902,2,0,15,Inf,2,Inf,1
"orepass","initial suite",6,1,"stope_stock_access",318.165674040902,2,1,2,Inf,3,Inf,1
"orepass","initial suite",6,1,"bogger_haul_empty_resource",318.165674040902,4,0,15,Inf,4,Inf,1
"orepass","initial suite",6,1,"bogger_get_stocks_resource",322.737391678156,3,0,15,Inf,3,Inf,1
"orepass","initial suite",6,1,"drawpoint_access",322.737391678156,3,0,3,Inf,3,Inf,1
